"","codCentro","codArticulo","num_roturas_no_promo","num_servicios_no_promo","num_roturas_promo","num_servicios_promo"
"464",617,503,3,8,1,1
"465",617,70,7,7,1,3
"466",6205,2,2,30,1,5
"467",6205,504,1,30,1,6
"468",628,180,7,35,1,1
"469",628,181,5,33,2,3
"470",628,185,5,32,1,2
"471",628,504,10,30,2,5
"472",628,574,3,34,1,2
"473",628,575,1,34,1,2
"474",6402,504,2,10,1,2
"475",6497,10,1,6,1,1
"476",6498,71,1,10,1,2
"477",6784,181,1,23,1,1
"478",6981,2,2,8,1,1
"479",705,167,3,24,1,6
"480",705,173,7,25,1,5
"481",705,174,6,23,1,8
"482",705,528,1,11,1,7
"483",705,574,4,26,1,4
"484",7083,181,13,35,1,1
"485",7083,574,5,11,1,3
"486",7083,70,3,12,3,3
"487",7083,72,1,23,3,16
"488",710,167,3,7,1,4
"489",710,2,1,8,1,1
"490",710,504,3,10,1,1
"491",713,167,4,28,2,3
"492",713,2,2,26,2,5
"493",714,167,2,4,2,2
"494",7167,2,1,24,2,5
"495",7170,2429,1,23,1,7
"496",7170,70,4,24,4,8
"497",7175,167,1,29,1,5
"498",7175,180,4,32,1,2
"499",7175,181,5,28,1,6
"500",7175,185,7,30,1,3
"501",7175,2,1,24,1,10
"502",7175,2429,3,26,1,5
"503",7175,575,10,30,1,4
"504",7175,592,4,32,1,2
"505",7175,70,2,26,3,8
"506",7175,71,9,29,1,5
"507",7277,167,1,12,1,2
"508",7347,167,2,28,1,5
"509",7347,173,1,26,1,7
"510",7362,167,1,27,2,6
"511",7362,181,7,31,1,2
"512",7362,2,2,30,1,3
"513",7407,574,4,6,1,1
"514",7407,575,5,6,1,1
"515",7467,504,1,17,1,2
"516",7493,582,1,6,1,1
"517",7570,167,2,34,1,5
"518",7570,504,2,28,2,11
"519",7576,504,5,24,1,10
"520",7576,574,5,30,1,4
"521",7576,686,5,6,1,2
"522",7576,72,7,26,1,7
"523",7619,2977,4,26,1,1
"524",7619,528,2,11,1,7
"525",7619,574,4,25,1,2
"526",7619,70,3,19,5,8
"527",7619,72,3,16,2,11
"528",7689,2,1,27,3,5
"529",7689,72,3,27,2,6
"530",7708,173,4,31,1,7
"531",7708,174,3,33,1,7
"532",7708,180,3,35,1,2
"533",7708,2,6,31,3,7
"534",7708,70,2,33,1,4
"535",7712,167,2,31,2,4
"536",7712,2,3,29,1,6
"537",7718,181,3,37,1,1
"538",7718,2,4,31,1,7
"539",7735,72,1,25,1,2
"540",7741,181,1,32,1,1
"541",7741,2,1,28,2,5
"542",7742,181,2,38,1,1
"543",7742,72,8,32,1,7
"544",7763,181,2,33,1,1
"545",7763,2,1,29,2,5
"546",7791,72,5,31,5,7
"547",782,184,4,5,1,3
"548",782,185,11,20,1,2
"549",782,2429,10,15,2,3
"550",7860,174,3,44,1,6
"551",7860,2,7,43,1,6
"552",7860,575,2,49,1,2
"553",7860,686,7,43,1,7
"554",7860,71,4,45,2,5
"555",7898,2,8,29,1,2
"556",7898,2977,1,28,1,1
"557",826,2429,2,18,1,2
"558",826,483,1,23,2,2
"559",826,504,2,23,1,2
"560",826,72,1,23,1,2
"561",851,167,1,37,2,7
"562",8544,6,2,12,1,1
"563",8548,195,2,9,1,5
"564",8552,173,2,13,1,3
"565",8555,195,2,8,2,5
"566",8571,180,3,16,1,1
"567",8571,185,2,6,1,1
"568",8571,6,5,16,1,1
"569",8571,70,1,14,1,4
"570",8571,72,1,9,1,9
"571",8573,71,2,6,1,1
"572",8579,6,3,57,1,6
"573",8579,686,4,57,1,6
"574",8579,71,6,56,2,8
"575",8588,195,1,12,1,2
"576",8596,2,2,21,2,3
"577",8596,2429,1,6,1,3
"578",8612,173,2,13,1,2
"579",863,2,4,30,1,4
"580",8656,5,1,16,1,1
"581",8802,2,1,13,3,5
"582",8893,167,4,28,2,4
"583",8893,2,4,27,2,5
"584",8893,504,10,27,2,5
"585",8893,72,9,25,1,8
"586",8940,72,5,16,1,1
"587",8973,2,1,10,1,3
"588",8973,70,2,5,2,2
"589",898,178,1,11,1,4
"590",901,2,1,28,1,8
"591",902,575,9,21,1,3
"592",902,70,3,18,2,7
"593",9069,2,1,10,1,3
"594",9151,195,1,9,1,5
"595",9159,4,1,9,1,1
"596",9179,504,2,36,1,5
"597",920,504,2,27,3,8
"598",920,72,1,29,1,6
"599",921,2,1,26,1,4
"600",922,179,16,21,1,3
"601",923,180,7,32,1,1
"602",923,2429,10,27,1,6
"603",923,504,4,31,2,2
"604",923,71,5,30,1,3
"605",9606,167,3,32,1,9
"606",9606,5,8,32,1,9
"607",9606,504,27,37,2,4
"608",9606,575,6,39,1,2
"609",9606,686,7,31,2,12
"610",9606,70,2,36,1,5
"611",964,2,2,19,1,7
"612",964,504,3,3,1,6
"613",9641,174,9,34,1,14
"614",9641,180,5,43,1,2
